ID,interview__key,hm_basic__id,Province,Team,Area_Council,fweight,sex,age,age_month,Birth_Certificate,Relationship,Night_Sleep_at_home,Availibility,Reasons_for_not_available,Ethnicity,Other_Ethnicity,Marital_Status
1,00-04-58-74,3,Malampa,41,,32.84086682,Male,14,,,3,7,,,1,,
2,00-04-58-74,1,Malampa,41,,32.84086682,Male,56,,,1,7,1,,1,,4
3,00-04-58-74,2,Malampa,41,,32.84086682,Female,18,,,3,7,1,,1,,1
4,00-04-58-74,5,Malampa,41,,32.84086682,Female,19,,,5,7,1,,1,,5
5,00-04-58-74,4,Malampa,41,,32.84086682,Male,20,,,3,7,1,,1,,5
6,00-04-61-30,2,Torba,11,,3.171067387,Male,78,,,2,7,1,,1,,2
7,00-04-61-30,1,Torba,11,,3.171067387,Female,68,,,1,7,1,,1,,2
8,00-05-68-96,1,Malampa,41,,14.29678968,Male,58,,,1,7,1,,1,,7
9,00-07-71-70,1,Sanma,22,,20.05114096,Male,20,,,1,7,1,,1,,3
10,00-07-71-70,3,Sanma,22,,20.05114096,Female,2,,1,3,7,,,1,,
11,00-07-71-70,2,Sanma,22,,20.05114096,Female,20,,,2,7,1,,1,,3
12,00-08-01-50,4,Shefa,53,,19.69589096,Male,13,,,7,7,,,1,,
13,00-08-01-50,1,Shefa,53,,19.69589096,Female,63,,,1,7,1,,1,,2
14,00-08-01-50,3,Shefa,53,,19.69589096,Male,16,,,7,7,1,,1,,1
15,00-08-01-50,5,Shefa,53,,19.69589096,Male,9,,,7,7,,,1,,
16,00-08-01-50,2,Shefa,53,,19.69589096,Female,41,,,3,7,1,,1,,2
17,00-10-81-49,3,Shefa,52,,16.06871039,Female,21,,,3,7,1,,1,,5
18,00-10-81-49,2,Shefa,52,,16.06871039,Male,35,,,13,7,1,,1,,5
19,00-10-81-49,1,Shefa,52,,16.06871039,Male,54,,,1,7,1,,1,,6
20,00-13-31-72,1,Sanma,21,,6.30199676,Female,50,,,1,7,1,,1,,2
21,00-13-31-72,2,Sanma,21,,6.30199676,Male,60,,,2,7,2,1,1,,2
22,00-13-31-72,3,Sanma,21,,6.30199676,Male,30,,,3,7,2,5,1,,1
23,00-13-74-88,3,Malampa,42,,14.75400778,Male,11,,,3,7,,,1,,
24,00-13-74-88,2,Malampa,42,,14.75400778,Male,35,,,2,0,1,,1,,4
25,00-13-74-88,4,Malampa,42,,14.75400778,Female,10,,,3,7,,,1,,
26,00-13-74-88,1,Malampa,42,,14.75400778,Female,26,,,1,7,1,,1,,4
27,00-13-74-88,5,Malampa,42,,14.75400778,Male,6,,,3,7,,,1,,
28,00-16-26-86,5,Sanma,21,,5.997722287,Male,7,,,3,7,,,1,,
29,00-16-26-86,4,Sanma,21,,5.997722287,Female,10,,,3,7,,,1,,
30,00-16-26-86,1,Sanma,21,,5.997722287,Female,38,,,1,7,1,,1,,2
31,00-16-26-86,2,Sanma,21,,5.997722287,Male,39,,,2,7,2,1,1,,2
32,00-16-26-86,3,Sanma,21,,5.997722287,Female,12,,,3,7,,,1,,
33,00-16-88-02,2,Sanma,22,,16.62538515,Female,23,,,2,7,1,,1,,2
34,00-16-88-02,1,Sanma,22,,16.62538515,Male,26,,,1,7,1,,1,,2
35,00-16-88-02,3,Sanma,22,,16.62538515,Female,2,,2,3,7,,,1,,
36,00-17-46-09,2,Malampa,41,,10.99915655,Female,25,,,2,7,1,,1,,5
37,00-17-46-09,3,Malampa,41,,10.99915655,Female,78,,,9,7,1,,1,,1
38,00-17-46-09,1,Malampa,41,,10.99915655,Male,26,,,1,7,1,,1,,5
39,00-18-17-38,2,Torba,11,,2.820511173,Female,82,,,2,7,1,,1,,4
40,00-18-17-38,1,Torba,11,,2.820511173,Male,88,,,1,7,1,,1,,4
41,00-19-22-87,6,Sanma,23,,18.5775158,Female,14,,,3,7,,,1,,
42,00-19-22-87,1,Sanma,23,,18.5775158,Female,39,,,1,7,1,,1,,2
43,00-19-22-87,2,Sanma,23,,18.5775158,Male,44,,,2,7,2,1,1,,2
44,00-19-22-87,9,Sanma,23,,18.5775158,Male,6,,,3,7,,,1,,
45,00-19-22-87,4,Sanma,23,,18.5775158,Female,18,,,3,7,2,4,1,,1
46,00-19-22-87,8,Sanma,23,,18.5775158,Male,9,,,3,7,,,1,,
47,00-19-22-87,5,Sanma,23,,18.5775158,Male,16,,,3,7,2,4,1,,1
48,00-19-22-87,7,Sanma,23,,18.5775158,Male,12,,,3,7,,,1,,
49,00-19-22-87,3,Sanma,23,,18.5775158,Female,21,,,3,7,2,4,1,,1
50,00-19-70-04,3,Shefa,52,,20.42356014,Male,27,,,3,7,1,,1,,1
51,00-19-70-04,2,Shefa,52,,20.42356014,Female,47,,,2,7,1,,1,,2
52,00-19-70-04,5,Shefa,52,,20.42356014,Male,12,,,3,7,,,1,,
53,00-19-70-04,1,Shefa,52,,20.42356014,Male,57,,,1,7,1,,1,,2
54,00-19-70-04,4,Shefa,52,,20.42356014,Female,23,,,3,7,1,,1,,1
55,00-19-70-04,6,Shefa,52,,20.42356014,Female,2,,1,7,7,,,1,,
56,00-19-73-04,3,Malampa,42,,14.39744968,Male,17,,,3,0,2,3,1,,1
57,00-19-73-04,4,Malampa,42,,14.39744968,Male,15,,,3,7,1,,1,,1
58,00-19-73-04,2,Malampa,42,,14.39744968,Female,45,,,2,7,1,,1,,2
59,00-19-73-04,1,Malampa,42,,14.39744968,Male,51,,,1,7,1,,1,,2
60,00-22-45-83,4,Shefa,52,,16.06821247,Male,18,,,3,7,1,,1,,1
61,00-22-45-83,1,Shefa,52,,16.06821247,Male,53,,,1,7,1,,1,,5
62,00-22-45-83,3,Shefa,52,,16.06821247,Male,22,,,3,7,1,,1,,1
63,00-22-45-83,5,Shefa,52,,16.06821247,Male,13,,,3,7,,,1,,
64,00-22-45-83,2,Shefa,52,,16.06821247,Female,46,,,2,7,1,,1,,5
65,00-22-74-06,2,Penama,31,,17.55451761,Male,42,,,2,7,1,,1,,4
66,00-22-74-06,6,Penama,31,,17.55451761,Female,6,,,3,7,,,1,,
67,00-22-74-06,3,Penama,31,,17.55451761,Male,13,,,3,7,,,1,,
68,00-22-74-06,1,Penama,31,,17.55451761,Female,35,,,1,7,1,,1,,4
69,00-22-74-06,4,Penama,31,,17.55451761,Female,10,,,3,7,,,1,,
70,00-22-74-06,5,Penama,31,,17.55451761,Male,8,,,3,7,,,1,,
71,00-23-23-31,3,Malampa,42,,24.86048378,Male,16,,,7,7,1,,1,,1
72,00-23-23-31,1,Malampa,42,,24.86048378,Female,74,,,1,7,1,,1,,7
73,00-23-23-31,2,Malampa,42,,24.86048378,Female,14,,,7,7,,,1,,
74,00-24-06-51,3,Torba,11,,2.723528404,Male,7,,,3,7,,,1,,
75,00-24-06-51,2,Torba,11,,2.723528404,Male,35,,,2,7,1,,1,,2
76,00-24-06-51,1,Torba,11,,2.723528404,Female,24,,,1,7,1,,1,,2
77,00-30-09-58,1,Malampa,42,,10.21559792,Male,39,,,1,7,1,,1,,2
78,00-30-09-58,2,Malampa,42,,10.21559792,Female,28,,,2,7,1,,1,,2
79,00-30-09-58,3,Malampa,42,,10.21559792,Female,5,,,3,7,,,1,,
80,00-30-50-63,4,Sanma,21,,5.788249504,Female,12,,,3,7,,,1,,
81,00-30-50-63,5,Sanma,21,,5.788249504,Male,6,,,3,7,,,1,,
82,00-30-50-63,3,Sanma,21,,5.788249504,Female,18,,,3,7,2,3,1,,1
83,00-30-50-63,1,Sanma,21,,5.788249504,Female,38,,,1,7,1,,1,,2
84,00-30-50-63,2,Sanma,21,,5.788249504,Male,39,,,2,0,2,1,1,,2
85,00-30-90-21,1,Shefa,52,,16.89872447,Female,63,,,1,7,1,,1,,7
86,00-31-51-65,4,Sanma,22,,18.42404785,Female,20,,,3,7,1,,1,,1
87,00-31-51-65,6,Sanma,22,,18.42404785,Female,2,,1,7,7,,,1,,
88,00-31-51-65,1,Sanma,22,,18.42404785,Female,42,,,1,7,1,,1,,2
89,00-31-51-65,2,Sanma,22,,18.42404785,Male,43,,,2,0,2,1,1,,2
90,00-31-51-65,5,Sanma,22,,18.42404785,Male,19,,,6,7,1,,1,,1
91,00-37-83-62,5,Sanma,23,,11.99342989,Male,6,,,3,7,,,1,,
92,00-37-83-62,4,Sanma,23,,11.99342989,Male,8,,,3,7,,,1,,
93,00-37-83-62,6,Sanma,23,,11.99342989,Female,4,,1,3,7,,,1,,
94,00-37-83-62,1,Sanma,23,,11.99342989,Male,50,,,1,7,1,,1,,3
95,00-37-83-62,3,Sanma,23,,11.99342989,Female,11,,,3,7,,,1,,
96,00-37-83-62,2,Sanma,23,,11.99342989,Female,47,,,2,7,2,4,1,,3
97,00-37-95-50,2,Sanma,22,,9.797152547,Female,49,,,2,7,1,,1,,2
98,00-37-95-50,3,Sanma,22,,9.797152547,Male,1,,2,3,7,,,1,,
99,00-37-95-50,1,Sanma,22,,9.797152547,Male,51,,,1,7,1,,1,,2
100,00-38-01-93,2,Penama,31,,22.18929672,Female,35,,,2,7,1,,1,,4
101,00-38-01-93,5,Penama,31,,22.18929672,Male,9,,,3,7,,,1,,
102,00-38-01-93,4,Penama,31,,22.18929672,Male,15,,,3,7,2,3,1,,1
103,00-38-01-93,1,Penama,31,,22.18929672,Male,43,,,1,7,1,,1,,4
104,00-38-01-93,6,Penama,31,,22.18929672,Female,5,,,3,7,,,1,,
105,00-38-01-93,3,Penama,31,,22.18929672,Female,19,,,3,0,2,3,1,,1
106,00-40-10-24,2,Sanma,22,,11.02523715,Male,39,,,2,7,1,,1,,2
107,00-40-10-24,3,Sanma,22,,11.02523715,Female,17,,,3,0,2,3,1,,1
108,00-40-10-24,4,Sanma,22,,11.02523715,Male,13,,,3,0,,,1,,
109,00-40-10-24,5,Sanma,22,,11.02523715,Male,8,,,3,0,,,1,,
110,00-40-10-24,1,Sanma,22,,11.02523715,Female,38,,,1,7,1,,1,,2
111,00-40-85-32,2,Shefa,53,,23.16390052,Male,45,,,2,7,2,1,1,,2
112,00-40-85-32,6,Shefa,53,,23.16390052,Male,0,3,1,7,7,,,1,,
113,00-40-85-32,5,Shefa,53,,23.16390052,Female,21,,,3,7,1,,1,,1
114,00-40-85-32,4,Shefa,53,,23.16390052,Male,14,,,3,7,,,1,,
115,00-40-85-32,7,Shefa,53,,23.16390052,Female,76,,,8,7,1,,1,,7
116,00-40-85-32,3,Shefa,53,,23.16390052,Male,26,,,3,7,1,,1,,1
117,00-40-85-32,1,Shefa,53,,23.16390052,Female,46,,,1,7,1,,1,,2
118,00-41-08-92,2,Sanma,23,,16.01347563,Female,38,,,2,7,2,4,1,,2
119,00-41-08-92,4,Sanma,23,,16.01347563,Male,17,,,3,7,2,5,1,,1
120,00-41-08-92,3,Sanma,23,,16.01347563,Male,21,,,3,7,2,5,1,,1
121,00-41-08-92,5,Sanma,23,,16.01347563,Female,15,,,3,7,2,4,1,,1
122,00-41-08-92,1,Sanma,23,,16.01347563,Male,43,,,1,7,1,,1,,2
123,00-41-08-92,6,Sanma,23,,16.01347563,Female,0,7,1,3,7,,,1,,
124,00-43-05-45,3,Shefa,53,,22.04605843,Male,24,,,3,7,1,,1,,1
125,00-43-05-45,1,Shefa,53,,22.04605843,Male,50,,,1,7,1,,1,,3
126,00-43-05-45,2,Shefa,53,,22.04605843,Female,52,,,2,7,2,1,1,,3
127,00-43-05-45,4,Shefa,53,,22.04605843,Female,33,,,14,7,1,,1,,3
128,00-43-95-83,2,Torba,11,,5.342316325,Male,22,,,2,7,1,,1,,5
129,00-43-95-83,1,Torba,11,,5.342316325,Female,21,,,1,7,1,,1,,5
130,00-45-62-32,2,Tafea,62,,8.443816636,Female,30,,,2,7,1,,1,,3
131,00-45-62-32,3,Tafea,62,,8.443816636,Male,10,,,3,7,,,1,,
132,00-45-62-32,5,Tafea,62,,8.443816636,Female,5,,,3,7,,,1,,
133,00-45-62-32,4,Tafea,62,,8.443816636,Male,8,,,3,7,,,1,,
134,00-45-62-32,1,Tafea,62,,8.443816636,Male,36,,,1,7,1,,1,,3
135,00-45-81-64,2,Torba,11,,5.342316325,Male,20,,,2,7,1,,1,,3
136,00-45-81-64,1,Torba,11,,5.342316325,Female,21,,,1,7,1,,1,,3
137,00-46-28-63,5,Penama,31,,18.13834619,Female,0,10,1,3,7,,,1,,
138,00-46-28-63,2,Penama,31,,18.13834619,Female,30,,,2,7,1,,1,,4
139,00-46-28-63,1,Penama,31,,18.13834619,Male,32,,,1,7,1,,1,,4
140,00-46-28-63,6,Penama,31,,18.13834619,Female,0,10,1,3,7,,,1,,
141,00-46-28-63,3,Penama,31,,18.13834619,Female,9,,,3,7,,,1,,
142,00-46-28-63,4,Penama,31,,18.13834619,Male,7,,,3,7,,,1,,
143,00-47-14-23,2,Penama,31,,15.11276708,Male,23,,,2,0,2,4,1,,3
144,00-47-14-23,1,Penama,31,,15.11276708,Female,20,,,1,7,1,,1,,3
145,00-47-14-23,3,Penama,31,,15.11276708,Female,0,4,2,3,7,,,1,,
146,00-48-13-31,10,Sanma,21,,9.204147035,Female,6,,,7,0,,,1,,
147,00-48-13-31,3,Sanma,21,,9.204147035,Male,22,,,3,7,1,,1,,5
